"TIME","U2:A(OP)"
0,3.27995e-005
1e-008,6.30233e-005
1.061335535e-008,6.49975e-005
1.184006605e-008,6.92534e-005
1.429348745e-008,7.94077e-005
1.920033025e-008,0.000107754
2.89860498e-008,0.000203297
3.879178321e-008,0.000356727
4.961391761e-008,0.000594484
6.276344088e-008,0.000971248
7.904023573e-008,0.00154068
1.008835911e-007,0.00240267
1.307871233e-007,0.00359035
1.683929643e-007,0.00487153
2.086702364e-007,0.0058609
2.679396475e-007,0.00667414
3.335594511e-007,0.00701372
4.292219164e-007,0.00711065
5.308632564e-007,0.00709545
6.472922963e-007,0.00709169
7.881642822e-007,0.00711656
1e-006,0.00716953
1.027067741e-006,0.00687379
1.081203222e-006,0.00559361
1.119804594e-006,0.00429065
1.171435434e-006,0.00258847
1.219979391e-006,0.00138353
1.25161205e-006,0.000865147
1.274849354e-006,0.0006167
1.297405783e-006,0.000464468
1.325741067e-006,0.000359585
1.347486398e-006,0.000322926
1.371023159e-006,0.000306888
1.396453103e-006,0.000302592
1.424449194e-006,0.000303159
1.458702375e-006,0.000304188
1.503232591e-006,0.000303093
1.579466386e-006,0.000298637
1.689367915e-006,0.00029446
1.807325398e-006,0.000293641
2.043240364e-006,0.000294214
2.287393792e-006,0.00029436
3.752314362e-006,0.00029279
8.584091945e-006,0.0002878
2.606579856e-005,0.000270004
3.678164195e-005,0.000259498
5.270782195e-005,0.000244458
7.13882298e-005,0.000227726
9.842507229e-005,0.000206801
0.0001339798639,0.000189032
0.0001775877507,0.000197246
0.0002202833252,0.000260145
0.0002752428052,0.000482066
0.000333122147,0.00098965
0.0004057763729,0.00225822
0.0004913930934,0.00511466
0.0006008115613,0.0119325
0.0007392582412,0.027749
0.0009248609386,0.0658172
0.001186250601,0.159188
0.001576427662,0.384289
0.001961634686,0.680777
0.002410756588,1.05347
0.002821767928,1.35525
0.003243321981,1.56839
0.003693160916,1.65178
0.004101787331,1.59594
0.004518623804,1.43261
0.005054554908,1.1386
0.005480587858,0.89524
0.005896288423,0.699156
0.006321812818,0.576654
0.006731073891,0.548759
0.00715121058,0.608518
0.007566794036,0.735996
0.008162497504,0.968002
0.008599482394,1.1314
0.009055346419,1.25623
0.009480366599,1.31024
0.009893577543,1.29966
0.01031539139,1.23271
0.01081011379,1.10873
0.01124245161,0.987444
0.01165164476,0.885278
0.01207828438,0.811601
0.0125122447,0.782383
0.01294359043,0.800103
0.01336318111,0.854352
0.01391054586,0.954166
0.01433104675,1.0343
0.01474567732,1.09975
0.01517078541,1.1409
0.01558019057,1.15053
0.01600029301,1.13088
0.01641534597,1.08859
0.01700669334,1.01176
0.01744202921,0.95719
0.01789718499,0.915117
0.0183217896,0.896555
0.01873472565,0.89955
0.01915655752,0.921472
0.01965025265,0.962515
0.02008632221,1.00334
0.0204959502,1.03761
0.02092348088,1.06249
0.02135394184,1.0725
0.02179666967,1.06663
0.02221438758,1.04864
0.02276093467,1.0154
0.02318100259,0.988666
0.02359547682,0.966779
0.02402057867,0.952969
0.02443022058,0.949672
0.02485046046,0.956166
0.02526793286,0.970326
0.02586364207,0.996124
0.0263003211,1.01435
0.02675649354,1.02834
0.02718146827,1.03445
0.02759424287,1.03337
0.02801652444,1.02598
0.02850165348,1.0125
0.02893772356,0.998868
0.02934692845,0.987427
0.02977391263,0.979107
0.0302043497,0.975732
0.03063314424,0.977528
0.03105267392,0.983441
0.03160243957,0.994539
0.03202407487,1.00351
0.03243851428,1.01086
0.03286425316,1.01555
0.03327505231,1.01672
0.03369583685,1.01461
0.03411187955,1.00994
0.03511315808,0.995581
0.03556756895,0.990738
0.03599017514,0.98849
0.03640371558,0.988642
0.0368260431,0.990944
0.03732669708,0.995496
0.03777561142,1.00017
0.03818788589,1.00403
0.03861903309,1.00686
0.03904288741,1.00801
0.03945732191,1.0075
0.03987852919,1.00558
0.0403677174,1.00231
0.04078997683,0.99926
0.04119909357,0.996695
0.04162238437,0.994925
0.04207956789,0.994308
0.04249365931,0.994902
0.04294952213,0.996549
0.04397263386,1.00141
0.04443371217,1.00303
0.0448576275,1.00376
0.045,1.00382
