"TIME","U1:D(OP)"
0,2.19091e-005
1e-008,5.24401e-005
1.061685682e-008,5.44465e-005
1.185057045e-008,5.87738e-005
1.431799772e-008,6.91094e-005
1.925285225e-008,9.80281e-005
2.908581286e-008,0.000195892
3.902865683e-008,0.000355792
4.974375617e-008,0.000599293
6.312816395e-008,0.00100038
7.939811362e-008,0.00160577
1.015449602e-007,0.00255796
1.307393328e-007,0.00386977
1.753503058e-007,0.00564308
2.241021075e-007,0.00703562
2.991727948e-007,0.00815931
3.968328779e-007,0.00858312
5.000997354e-007,0.00857688
6.224649796e-007,0.00851435
7.814815954e-007,0.00851436
1e-006,0.00857578
1.027815918e-006,0.00825278
1.083447755e-006,0.0068225
1.122821588e-006,0.00534362
1.174598083e-006,0.00337655
1.224074091e-006,0.00188716
1.255331172e-006,0.0012245
1.278773839e-006,0.000876945
1.301740916e-006,0.000646517
1.330122602e-006,0.00047534
1.352615418e-006,0.000404005
1.379050379e-006,0.000363975
1.403459188e-006,0.000350926
1.434472259e-006,0.000348071
1.469016395e-006,0.000349694
1.52218776e-006,0.000349939
1.607791776e-006,0.000345072
1.701406773e-006,0.000340726
1.84345443e-006,0.000340834
2.047334236e-006,0.000346036
2.263602275e-006,0.000352131
2.696138354e-006,0.000365299
3.561210512e-006,0.000401294
4.96240974e-006,0.000487877
7.764808194e-006,0.000764591
1.33696051e-005,0.00172546
2.457919892e-005,0.00522407
4.699838655e-005,0.0181077
8.931505235e-005,0.0609539
0.0001467927432,0.149563
0.0002187029847,0.29288
0.0003023765704,0.480304
0.0004023765704,0.700623
0.0005023765704,0.891321
0.0006023765704,1.03688
0.0007023765704,1.13205
0.0008023765704,1.17981
0.0009023765704,1.18852
0.00100237657,1.16917
0.00110237657,1.13309
0.00120237657,1.09034
0.00130237657,1.04875
0.00140237657,1.01354
0.00150237657,0.987459
0.00160237657,0.971177
0.00170237657,0.963831
0.00180237657,0.963628
0.00190237657,0.968372
0.00200237657,0.975886
0.00210237657,0.984297
0.00220237657,0.992197
0.00230237657,0.998681
0.00240237657,1.00332
0.00250237657,1.00606
0.00260237657,1.00713
0.00270237657,1.0069
0.00280237657,1.00581
0.00300237657,1.00263
0.00310237657,1.00114
0.00320237657,0.999959
0.00330237657,0.999142
0.00340237657,0.998689
0.00350237657,0.998548
0.00370237657,0.998881
0.00400237657,0.999787
0.00420237657,1.00014
0.00450237657,1.00021
0.005,0.999942
