"TIME","Out"
0,1.08104e-005
1.069978686e-008,1.08356e-005
1.489850803e-008,1.0849e-005
2.049680292e-008,1.08788e-005
3.169339271e-008,1.10113e-005
5.408657228e-008,1.184e-005
9.887293143e-008,1.75331e-005
1.884456497e-007,5.14471e-005
3.675910863e-007,0.00021694
7.258819595e-007,0.000934171
1e-006,0.00182896
1.071658175e-006,0.00211159
1.214974524e-006,0.00268324
1.501607222e-006,0.00382875
2.074872619e-006,0.00611584
3.221403414e-006,0.0106824
5.514465002e-006,0.0197845
1.010058818e-005,0.0378644
1.927283453e-005,0.0735316
3.761732724e-005,0.142944
7.430631265e-005,0.274443
0.0001476842835,0.510769
0.0002944402251,0.894506
0.0005879521084,1.40947
0.0008999376325,1.71354
0.001341966531,1.91828
0.001826619281,1.99715
0.002500458595,2.02021
0.003342288452,2.01462
0.004684264135,2.00418
0.005,2.00344
