"TIME","U1:D(OP)"
0,2.73262e-005
1e-008,6.46024e-005
1.061522235e-008,6.70451e-005
1.184566705e-008,7.23123e-005
1.430655645e-008,8.4884e-005
1.922833526e-008,0.000119977
2.903988773e-008,0.000237805
3.891828203e-008,0.000426803
4.967781624e-008,0.000712861
6.295340539e-008,0.00116657
7.922251524e-008,0.00183119
1.012268455e-007,0.00281139
1.326174205e-007,0.00413866
1.691684535e-007,0.00535874
2.1099487e-007,0.00625166
2.710253612e-007,0.00684138
3.372285184e-007,0.00700693
4.427175473e-007,0.00701013
5.382203077e-007,0.00698005
6.637195322e-007,0.00696465
8.022318093e-007,0.00695977
1e-006,0.00695774
1.027702455e-006,0.00658002
1.083107366e-006,0.00504175
1.122034069e-006,0.00358943
1.17414461e-006,0.00183146
1.223489629e-006,0.000714562
1.255687788e-006,0.000303226
1.278868749e-006,0.000142722
1.302187468e-006,6.33781e-005
1.330626959e-006,3.04808e-005
1.353210709e-006,3.02817e-005
1.379878815e-006,3.82576e-005
1.404340628e-006,4.47217e-005
1.435429381e-006,4.75654e-005
1.469541143e-006,4.54112e-005
1.520338536e-006,3.94287e-005
1.606207836e-006,3.34455e-005
1.73171363e-006,3.24672e-005
1.867019783e-006,3.36836e-005
2.137632089e-006,3.43278e-005
2.470727078e-006,3.42192e-005
3.136917057e-006,3.41666e-005
4.469297013e-006,3.4175e-005
7.134056927e-006,3.42499e-005
1.246357675e-005,3.52021e-005
2.312261641e-005,4.22812e-005
3.415175838e-005,6.04066e-005
4.944608769e-005,0.000113128
6.775443887e-005,0.000234439
9.335627502e-005,0.000548489
0.0001273434667,0.00130739
0.0001754507642,0.00324706
0.0002428505184,0.00812522
0.0003414518238,0.0208497
0.0004908625328,0.0549049
0.0007433578754,0.154905
0.001101527105,0.373336
0.001544919354,0.70935
0.002044919354,1.07435
0.002418706327,1.28584
0.002789324989,1.41162
0.003164477716,1.44431
0.00361398602,1.3753
0.00411398602,1.21237
0.00461398602,1.02479
0.005051507163,0.885752
0.005434019373,0.80652
0.005825014168,0.776181
0.006222587483,0.794766
0.006722587483,0.866885
0.007222587483,0.961051
0.007722587483,1.04567
0.008114764068,1.0912
0.008517567098,1.11174
0.008902580776,1.10674
0.009402580776,1.07396
0.009902580776,1.02729
0.01040258078,0.983062
0.01079109865,0.957945
0.01119289691,0.944764
0.01157512385,0.944772
0.01207512385,0.959088
0.01307512385,1.0049
0.01346062164,1.01867
0.0138377388,1.02654
0.01421927979,1.02827
0.0146819591,1.02325
0.0151819591,1.01255
0.0156819591,1.0006
0.01610528693,0.992187
0.01648607201,0.987345
0.01687449919,0.985624
0.01728543365,0.987065
0.01778543365,0.991857
0.01828543365,0.997899
0.01878543365,1.0032
0.01917986061,1.00598
0.01958320619,1.00713
0.01996979262,1.00667
0.02046979262,1.00446
0.02096979262,1.00145
0.02146979262,0.998671
0.02185978038,0.997135
0.02226224864,0.996382
0.02264586045,0.996462
0.02314586045,0.997448
0.02414586045,1.00038
0.0245330998,1.00122
0.025,1.00173
