"TIME","Out"
0,1.08104e-005
1.168043682e-008,1.08243e-005
1.840218408e-008,1.08379e-005
2.736451377e-008,1.08776e-005
4.528917315e-008,1.11036e-005
8.113849191e-008,1.26537e-005
1.528371294e-007,2.24556e-005
2.962344045e-007,7.31337e-005
5.830289545e-007,0.000298774
1e-006,0.000919898
1.05735891e-006,0.00103272
1.17207673e-006,0.00126125
1.40151237e-006,0.00171985
1.86038365e-006,0.00263563
2.77812621e-006,0.00446449
4.613611331e-006,0.00811251
8.284581572e-006,0.0153679
1.562652205e-005,0.0297205
3.031040302e-005,0.0578046
5.967816494e-005,0.11158
0.0001184136888,0.210262
0.0002358847365,0.377022
0.0004708268319,0.618096
0.0007776679627,0.807391
0.001166551124,0.92888
0.0016361332,0.988015
0.002228006828,1.00834
0.002998999442,1.00901
0.004105292991,1.0039
0.005915921163,1.0002
0.007915921163,0.999652
0.01191592116,0.999958
0.03391592116,0.999979
0.05,0.999979
