"TIME","U1:D(OP)"
0.4174151402,4.95288
0.4174286162,4.89445
0.4174433421,4.82835
0.4174611066,4.74553
0.4174966358,4.57017
0.417567694,4.18338
0.4177098105,3.29188
0.4179344801,1.69967
0.4181707584,0.0168223
0.4183135067,-0.911338
0.4183224786,-0.966943
0.4183404222,-1.07659
0.4183570783,-1.17612
0.4183612423,-1.20059
0.4183728665,-1.26823
0.4183780126,-1.29781
0.4183868841,-1.34826
0.4183952892,-1.39539
0.418409125,-1.47152
0.4184348404,-1.60807
0.4184805363,-1.8341
0.4185503312,-2.13578
0.4186333786,-2.4224
0.4187102774,-2.6151
0.4187810664,-2.72938
0.4189226443,-2.77702
0.4192058002,-2.20732
0.4193286362,-1.70481
0.4194679762,-0.976929
0.4195103228,-0.725051
0.4195307661,-0.598816
0.4195466035,-0.499128
0.4195619697,-0.400928
0.4195831234,-0.263508
0.4196254309,0.0183489
0.4197100458,0.604383
0.4198792756,1.81583
0.4201243738,3.47583
0.4203741071,4.80616
0.4204084721,4.95156
0.4204772022,5.21062
0.4205030536,5.29565
0.4205240785,5.35925
0.4205434018,5.41308
0.4205609591,5.45806
0.4205960735,5.53647
0.4206663024,5.64623
0.4208067601,5.67529
0.4209722847,5.391
0.4210415526,5.17256
0.4210743445,5.04933
0.421088711,4.99143
0.4211017593,4.93684
0.4211143121,4.88255
0.4211298635,4.81293
0.4211609663,4.66606
0.4212231719,4.34365
0.4213475831,3.60076
0.4215833867,1.97309
0.4218143958,0.318833
0.4220485839,-1.15898
0.4221489164,-1.68777
0.4222207909,-2.01248
0.4222916113,-2.2798
0.4223536193,-2.46745
0.4224191896,-2.6166
0.4225503304,-2.76007
0.422812612,-2.45855
0.4229645403,-1.95029
0.4230620068,-1.50729
0.4231157739,-1.22698
0.4231372984,-1.10801
0.4231463069,-1.05712
0.4231565432,-0.998541
0.4231627188,-0.962823
0.4231745644,-0.893539
0.4231982555,-0.752016
0.4232456379,-0.457954
0.4233404027,0.167035
0.4235299322,1.49807
0.4237798259,3.2101
0.4240348317,4.63436
0.4241905997,5.24885
0.4242661986,5.46037
0.4243235383,5.57708
0.4243849991,5.657
0.4244760931,5.68658
0.424658281,5.43226
0.4247421633,5.17864
0.4247784506,5.04309
0.4247946066,4.97786
0.4248093544,4.91577
0.4248233261,4.85475
0.424841209,4.7736
0.4248769746,4.60137
0.424948506,4.22003
0.4250915687,3.3361
0.4253161978,1.75866
0.4255526223,0.0803384
0.4256990203,-0.870935
0.4257820083,-1.35407
0.4258300974,-1.60929
0.4258669216,-1.79021
0.4259058544,-1.96637
0.4259837199,-2.26827
0.4260301184,-2.41514
0.4260996926,-2.58746
0.4262057762,-2.73783
0.4264179435,-2.6426
0.4265731262,-2.2578
0.4267020611,-1.75372
0.4268244934,-1.13869
0.4268637748,-0.915109
0.426881845,-0.808291
0.4268944431,-0.73244
0.4269064858,-0.658926
0.4269214423,-0.566309
0.4269513552,-0.376957
0.4270111811,0.016382
0.4271308328,0.845413
0.4273701361,2.53079
0.4276095019,4.03412
0.4278675159,5.18297
0.4279787322,5.48575
0.4280678754,5.62746
0.4281625199,5.67069
0.4282498481,5.61032
0.4284245047,5.20981
0.4284730816,5.03375
0.4284990013,4.92873
0.4285234434,4.82291
0.428547547,4.71232
0.4285898713,4.50386
0.42867452,4.03734
0.4288438173,2.95166
0.4290690324,1.3483
0.4293226709,-0.393331
0.4294624176,-1.23372
0.4295312272,-1.59874
0.4295835141,-1.84799
0.4296398682,-2.08518
0.4297062088,-2.3192
0.4297569876,-2.46398
0.4298254123,-2.61051
0.4299622616,-2.73504
0.4302359603,-2.35065
0.4303863109,-1.8072
0.4304839807,-1.34059
0.4305276796,-1.10508
0.4305594588,-0.924299
0.4305704144,-0.860197
0.4305811648,-0.796455
0.4305913328,-0.735424
0.4306012624,-0.675145
0.4306211217,-0.552653
0.4306608402,-0.30044
0.4307402772,0.228481
0.4308991513,1.34479
0.4311523829,3.09153
0.4313989982,4.5068
0.4315582435,5.1716
0.4316350226,5.40459
0.4317082584,5.56397
0.431758607,5.63557
0.4318222136,5.67995
0.4319494268,5.61329
0.4320454945,5.42801
0.4321047424,5.25733
0.4321285929,5.17673
0.4321465082,5.11178
0.4321631097,5.04829
0.4321818337,4.97298
0.4322192817,4.81086
0.4322941778,4.44355
0.4324439699,3.56471
0.4326751318,1.97563
0.4329122522,0.287676
0.4331176385,-1.02329
0.4332024822,-1.49365
0.4332846899,-1.89017
0.4333313333,-2.08554
0.4333884393,-2.29225
0.4334376706,-2.4404
0.4335012864,-2.58926
0.433628518,-2.74104
0.4338829813,-2.48779
0.434035191,-2.00541
0.4341275439,-1.60221
0.4341943586,-1.26321
0.4342194774,-1.12604
0.4342300255,-1.06693
0.4342368268,-1.02835
0.4342432689,-0.991496
0.4342511384,-0.946057
0.4342647482,-0.866418
0.4342919679,-0.703276
0.4343464074,-0.362782
0.4344552862,0.363816
0.4346730439,1.89644
0.4349184424,3.53182
0.4351798097,4.87965
0.4352143339,5.01789
0.4352833822,5.26178
0.4353080172,5.33695
0.4353310311,5.40089
0.4353592124,5.47048
0.435388994,5.53331
0.4354485574,5.62523
0.435567684,5.67224
0.4357733972,5.33558
0.4358388962,5.12014
0.4358851316,4.93806
0.4359049681,4.85256
0.4359228283,4.77192
0.4359471206,4.65686
0.4359776814,4.50363
0.4360388031,4.17078
0.4361610466,3.41625
0.4363852485,1.84935
0.4366168474,0.19752
0.4367751805,-0.838482
0.4367858461,-0.904844
0.4368071774,-1.0354
0.4368283861,-1.16173
0.4368457185,-1.2622
0.4368530754,-1.30406
0.4368601841,-1.34405
0.4368686239,-1.39092
0.436877393,-1.43892
0.4368949312,-1.53271
0.4369300076,-1.7111
0.4369991725,-2.02479
0.437072989,-2.3008
0.4371214659,-2.44785
0.4371926225,-2.61286
0.4373349355,-2.75977
0.4376195615,-2.36617
0.4377725884,-1.80483
0.4378754467,-1.30469
0.4379132827,-1.09761
0.4379274463,-1.01708
0.4379358576,-0.968516
0.4379435808,-0.923465
0.4379524336,-0.871294
0.437963589,-0.804764
0.4379858998,-0.669152
0.4380305214,-0.388424
0.4381197647,0.204897
0.4382982512,1.46301
0.4385486262,3.18604
0.4388006003,4.60747
0.4389560626,5.23336
0.4390313291,5.45075
