X,CH1,
Second,Volt,
1.06E-03,1.11E+00,
1.07E-03,1.11E+00,
1.07E-03,1.11E+00,
1.08E-03,1.11E+00,
1.08E-03,1.11E+00,
1.09E-03,1.10E+00,
1.09E-03,1.11E+00,
1.10E-03,1.10E+00,
1.10E-03,1.10E+00,
1.11E-03,1.09E+00,
1.11E-03,1.09E+00,
1.12E-03,1.09E+00,
1.12E-03,1.09E+00,
1.13E-03,1.09E+00,
1.13E-03,1.09E+00,
1.14E-03,1.09E+00,
1.14E-03,1.09E+00,
1.15E-03,1.09E+00,
1.15E-03,1.08E+00,
1.16E-03,1.08E+00,
1.16E-03,1.08E+00,
1.17E-03,1.07E+00,
1.17E-03,1.08E+00,
1.18E-03,1.07E+00,
1.18E-03,1.08E+00,
1.19E-03,1.07E+00,
1.19E-03,1.07E+00,
1.20E-03,1.06E+00,
1.20E-03,1.06E+00,
1.21E-03,1.06E+00,
1.21E-03,1.06E+00,
1.22E-03,1.06E+00,
1.22E-03,1.06E+00,
1.23E-03,1.06E+00,
1.23E-03,1.06E+00,
1.24E-03,1.06E+00,
1.24E-03,1.05E+00,
1.25E-03,1.05E+00,
1.25E-03,1.06E+00,
1.26E-03,1.05E+00,
1.26E-03,1.04E+00,
1.27E-03,1.05E+00,
1.27E-03,1.04E+00,
1.28E-03,1.04E+00,
1.28E-03,1.04E+00,
1.29E-03,1.04E+00,
1.30E-03,1.04E+00,
1.30E-03,1.04E+00,
1.31E-03,1.04E+00,
1.31E-03,1.04E+00,
1.32E-03,1.03E+00,
1.32E-03,1.03E+00,
1.33E-03,1.03E+00,
1.33E-03,1.03E+00,
1.34E-03,1.02E+00,
1.34E-03,1.03E+00,
1.35E-03,1.02E+00,
1.35E-03,1.02E+00,
1.36E-03,1.02E+00,
1.36E-03,1.02E+00,
1.37E-03,1.02E+00,
1.37E-03,1.02E+00,
1.38E-03,1.02E+00,
1.38E-03,1.02E+00,
1.39E-03,1.02E+00,
1.39E-03,1.02E+00,
1.40E-03,1.02E+00,
1.40E-03,1.01E+00,
1.41E-03,1.01E+00,
1.41E-03,1.01E+00,
1.42E-03,1.01E+00,
1.42E-03,1.01E+00,
1.43E-03,1.01E+00,
1.43E-03,1.00E+00,
1.44E-03,1.00E+00,
1.44E-03,1.00E+00,
1.45E-03,1.00E+00,
1.45E-03,1.00E+00,
1.46E-03,9.99E-01,
1.46E-03,1.00E+00,
1.47E-03,9.99E-01,
1.47E-03,9.99E-01,
1.48E-03,9.99E-01,
1.48E-03,1.00E+00,
1.49E-03,9.92E-01,
1.49E-03,9.92E-01,
1.50E-03,9.92E-01,
1.50E-03,9.92E-01,
1.51E-03,9.92E-01,
1.51E-03,9.92E-01,
1.52E-03,9.92E-01,
1.52E-03,9.92E-01,
1.53E-03,9.92E-01,
1.53E-03,9.92E-01,
1.54E-03,9.92E-01,
