X,CH1
Second,Volt,
4.56e-03,9.91e-01
4.58e-03,9.91e-01
4.60e-03,9.83e-01
4.62e-03,9.83e-01
4.64e-03,9.83e-01
4.66e-03,9.66e-01
4.68e-03,9.66e-01
4.70e-03,9.66e-01
4.72e-03,9.58e-01
4.74e-03,9.49e-01
4.76e-03,9.49e-01
4.78e-03,9.41e-01
4.80e-03,9.32e-01
4.82e-03,9.32e-01
4.84e-03,9.24e-01
4.86e-03,9.24e-01
4.88e-03,9.24e-01
4.90e-03,9.16e-01
4.92e-03,9.16e-01
4.94e-03,9.07e-01
4.96e-03,9.07e-01
4.98e-03,8.99e-01
5.00e-03,8.99e-01
5.02e-03,8.90e-01
5.04e-03,8.90e-01
5.06e-03,8.82e-01
5.08e-03,8.82e-01
5.10e-03,8.82e-01
5.12e-03,8.74e-01
5.14e-03,8.74e-01
5.16e-03,8.74e-01
5.18e-03,8.74e-01
5.20e-03,8.74e-01
5.22e-03,8.65e-01
5.24e-03,8.57e-01
5.26e-03,8.57e-01
5.28e-03,8.57e-01
5.30e-03,8.65e-01
5.32e-03,8.57e-01
5.34e-03,8.48e-01
5.36e-03,8.48e-01
5.38e-03,8.48e-01
5.40e-03,8.40e-01
5.42e-03,8.48e-01
5.44e-03,8.48e-01
5.46e-03,8.40e-01
5.48e-03,8.48e-01
5.50e-03,8.40e-01
5.52e-03,8.40e-01
5.54e-03,8.32e-01
5.56e-03,8.40e-01
5.58e-03,8.40e-01
5.60e-03,8.40e-01
5.62e-03,8.48e-01
5.64e-03,8.40e-01
5.66e-03,8.40e-01
5.68e-03,8.40e-01
5.70e-03,8.40e-01
5.72e-03,8.40e-01
5.74e-03,8.40e-01
5.76e-03,8.40e-01
5.78e-03,8.40e-01
5.80e-03,8.48e-01
5.82e-03,8.40e-01
5.84e-03,8.48e-01
5.86e-03,8.48e-01
5.88e-03,8.48e-01
5.90e-03,8.48e-01
5.92e-03,8.57e-01
5.94e-03,8.48e-01
5.96e-03,8.48e-01
5.98e-03,8.48e-01
6.00e-03,8.57e-01
6.02e-03,8.57e-01
6.04e-03,8.57e-01
6.06e-03,8.65e-01
6.08e-03,8.57e-01
6.10e-03,8.65e-01
6.12e-03,8.74e-01
6.14e-03,8.74e-01
6.16e-03,8.74e-01
6.18e-03,8.74e-01
6.20e-03,8.74e-01
6.22e-03,8.82e-01
6.24e-03,8.82e-01
6.26e-03,8.90e-01
6.28e-03,8.82e-01
6.30e-03,8.82e-01
6.32e-03,8.90e-01
6.34e-03,8.99e-01
6.36e-03,8.99e-01
6.38e-03,8.99e-01
6.40e-03,9.07e-01
6.42e-03,9.07e-01
6.44e-03,9.07e-01
6.46e-03,9.07e-01
6.48e-03,9.07e-01
6.50e-03,9.16e-01
6.52e-03,9.24e-01
6.54e-03,9.16e-01
6.56e-03,9.24e-01
6.58e-03,9.32e-01
6.60e-03,9.32e-01
6.62e-03,9.32e-01
6.64e-03,9.32e-01
6.66e-03,9.32e-01
6.68e-03,9.41e-01
6.70e-03,9.49e-01
6.72e-03,9.49e-01
6.74e-03,9.41e-01
6.76e-03,9.58e-01
6.78e-03,9.49e-01
6.80e-03,9.66e-01
6.82e-03,9.66e-01
6.84e-03,9.66e-01
6.86e-03,9.66e-01
6.88e-03,9.74e-01
6.90e-03,9.74e-01
6.92e-03,9.74e-01
6.94e-03,9.74e-01
6.96e-03,9.83e-01
6.98e-03,9.83e-01
7.00e-03,9.91e-01
7.02e-03,9.91e-01
7.04e-03,9.91e-01
7.06e-03,9.91e-01
7.08e-03,9.91e-01
7.10e-03,1.00e+00
7.12e-03,9.91e-01
7.14e-03,1.00e+00
7.16e-03,1.02e+00
7.18e-03,1.00e+00
7.20e-03,1.01e+00
7.22e-03,1.02e+00
7.24e-03,1.02e+00
7.26e-03,1.02e+00
7.28e-03,1.02e+00
7.30e-03,1.02e+00
7.32e-03,1.02e+00
7.34e-03,1.02e+00
7.36e-03,1.02e+00
7.38e-03,1.02e+00
7.40e-03,1.03e+00
7.42e-03,1.03e+00
7.44e-03,1.03e+00
7.46e-03,1.03e+00
7.48e-03,1.05e+00
7.50e-03,1.05e+00
7.52e-03,1.05e+00
7.54e-03,1.04e+00
7.56e-03,1.05e+00
7.58e-03,1.05e+00
7.60e-03,1.05e+00
7.62e-03,1.05e+00
7.64e-03,1.05e+00
7.66e-03,1.06e+00
7.68e-03,1.05e+00
7.70e-03,1.05e+00
7.72e-03,1.06e+00
7.74e-03,1.06e+00
7.76e-03,1.06e+00
7.78e-03,1.07e+00
7.80e-03,1.08e+00
7.82e-03,1.07e+00
7.84e-03,1.07e+00
7.86e-03,1.08e+00
7.88e-03,1.07e+00
7.90e-03,1.08e+00
7.92e-03,1.08e+00
7.94e-03,1.07e+00
7.96e-03,1.08e+00
7.98e-03,1.08e+00
8.00e-03,1.08e+00
8.02e-03,1.08e+00
8.04e-03,1.08e+00
8.06e-03,1.08e+00
8.08e-03,1.08e+00
8.10e-03,1.08e+00
8.12e-03,1.08e+00
8.14e-03,1.08e+00
8.16e-03,1.08e+00
8.18e-03,1.08e+00
8.20e-03,1.08e+00
8.22e-03,1.08e+00
8.24e-03,1.08e+00
8.26e-03,1.08e+00
8.28e-03,1.08e+00
8.30e-03,1.08e+00
8.32e-03,1.08e+00
8.34e-03,1.08e+00
8.36e-03,1.08e+00
8.38e-03,1.07e+00
8.40e-03,1.08e+00
8.42e-03,1.08e+00
8.44e-03,1.08e+00
8.46e-03,1.08e+00
8.48e-03,1.08e+00
8.50e-03,1.07e+00
8.52e-03,1.08e+00
8.54e-03,1.08e+00
8.56e-03,1.07e+00
8.58e-03,1.08e+00
8.60e-03,1.08e+00
8.62e-03,1.07e+00
8.64e-03,1.07e+00
8.66e-03,1.06e+00
8.68e-03,1.07e+00
8.70e-03,1.06e+00
8.72e-03,1.06e+00
8.74e-03,1.07e+00
8.76e-03,1.06e+00
8.78e-03,1.06e+00
8.80e-03,1.06e+00
8.82e-03,1.05e+00
8.84e-03,1.06e+00
8.86e-03,1.06e+00
8.88e-03,1.05e+00
8.90e-03,1.05e+00
8.92e-03,1.05e+00
8.94e-03,1.05e+00
8.96e-03,1.05e+00
8.98e-03,1.05e+00
9.00e-03,1.05e+00
9.02e-03,1.04e+00
9.04e-03,1.05e+00
9.06e-03,1.05e+00
9.08e-03,1.05e+00
9.10e-03,1.04e+00
9.12e-03,1.04e+00
9.14e-03,1.04e+00
9.16e-03,1.04e+00
9.18e-03,1.03e+00
9.20e-03,1.03e+00
9.22e-03,1.02e+00
9.24e-03,1.03e+00
9.26e-03,1.03e+00
9.28e-03,1.03e+00
9.30e-03,1.03e+00
9.32e-03,1.03e+00
9.34e-03,1.02e+00
9.36e-03,1.02e+00
9.38e-03,1.02e+00
9.40e-03,1.02e+00
9.42e-03,1.02e+00
9.44e-03,1.02e+00
9.46e-03,1.02e+00
9.48e-03,1.02e+00
9.50e-03,1.02e+00
9.52e-03,1.02e+00
9.54e-03,1.02e+00
9.56e-03,1.01e+00
9.58e-03,1.02e+00
9.60e-03,1.02e+00
9.62e-03,1.02e+00
9.64e-03,1.01e+00
9.66e-03,1.01e+00
9.68e-03,1.01e+00
9.70e-03,1.00e+00
9.72e-03,1.00e+00
9.74e-03,1.01e+00
9.76e-03,1.00e+00
9.78e-03,1.00e+00
9.80e-03,1.00e+00
9.82e-03,1.00e+00
9.84e-03,1.00e+00
9.86e-03,1.00e+00
9.88e-03,9.91e-01
9.90e-03,9.91e-01
9.92e-03,1.00e+00
9.94e-03,9.91e-01
9.96e-03,9.91e-01
9.98e-03,9.91e-01
1.00e-02,9.91e-01
1.00e-02,9.91e-01
1.00e-02,9.91e-01
1.01e-02,9.91e-01
1.01e-02,9.91e-01
1.01e-02,9.91e-01
1.01e-02,9.91e-01
1.01e-02,9.83e-01
1.02e-02,9.83e-01
1.02e-02,9.91e-01
1.02e-02,9.83e-01
1.02e-02,9.83e-01
1.02e-02,9.83e-01
1.03e-02,9.83e-01
1.03e-02,9.83e-01
1.03e-02,9.91e-01
1.03e-02,9.83e-01
1.03e-02,9.74e-01
1.04e-02,9.74e-01
1.04e-02,9.83e-01
1.04e-02,9.83e-01
1.04e-02,9.74e-01
1.04e-02,9.74e-01
1.05e-02,9.74e-01
1.05e-02,9.74e-01
1.05e-02,9.74e-01
1.05e-02,9.74e-01
1.05e-02,9.74e-01
1.06e-02,9.74e-01
1.06e-02,9.74e-01
1.06e-02,9.74e-01
1.06e-02,9.74e-01
1.06e-02,9.74e-01
1.07e-02,9.66e-01
1.07e-02,9.74e-01
1.07e-02,9.74e-01
1.07e-02,9.74e-01
1.07e-02,9.74e-01
1.08e-02,9.66e-01
1.08e-02,9.66e-01
1.08e-02,9.74e-01
1.08e-02,9.66e-01
1.08e-02,9.74e-01
1.09e-02,9.74e-01
1.09e-02,9.83e-01
1.09e-02,9.66e-01
1.09e-02,9.74e-01
1.09e-02,9.66e-01
1.10e-02,9.74e-01
1.10e-02,9.74e-01
1.10e-02,9.74e-01
1.10e-02,9.74e-01
1.10e-02,9.83e-01
1.11e-02,9.74e-01
1.11e-02,9.74e-01
1.11e-02,9.74e-01
1.11e-02,9.74e-01
1.11e-02,9.83e-01
1.12e-02,9.83e-01
1.12e-02,9.74e-01
1.12e-02,9.83e-01
1.12e-02,9.74e-01
1.12e-02,9.74e-01
1.13e-02,9.83e-01
1.13e-02,9.74e-01
1.13e-02,9.83e-01
1.13e-02,9.91e-01
1.13e-02,9.83e-01
1.14e-02,9.83e-01
1.14e-02,9.83e-01
1.14e-02,9.83e-01
1.14e-02,9.91e-01
1.14e-02,9.83e-01
1.15e-02,9.83e-01
1.15e-02,9.83e-01
1.15e-02,9.83e-01
1.15e-02,9.83e-01
1.15e-02,9.83e-01
1.16e-02,9.91e-01
1.16e-02,9.83e-01
1.16e-02,9.91e-01
1.16e-02,9.91e-01
1.16e-02,9.91e-01
1.17e-02,9.83e-01
1.17e-02,9.91e-01
1.17e-02,9.91e-01
1.17e-02,9.91e-01
1.17e-02,9.91e-01
1.18e-02,9.91e-01
1.18e-02,9.91e-01
1.18e-02,1.00e+00
1.18e-02,9.91e-01
1.18e-02,9.91e-01
1.19e-02,9.91e-01
1.19e-02,9.91e-01
1.19e-02,9.91e-01
1.19e-02,9.91e-01
1.19e-02,1.00e+00
1.20e-02,9.91e-01
1.20e-02,9.91e-01
1.20e-02,1.00e+00
1.20e-02,1.00e+00
1.20e-02,1.00e+00
1.21e-02,1.00e+00
1.21e-02,1.00e+00
1.21e-02,1.00e+00
1.21e-02,1.00e+00
1.21e-02,1.00e+00
