X,CH1,
Second,Volt,
4.24E-03,2.22E+00,
4.26E-03,2.22E+00,
4.28E-03,2.22E+00,
4.30E-03,2.23E+00,
4.32E-03,2.22E+00,
4.34E-03,2.23E+00,
4.36E-03,2.24E+00,
4.38E-03,2.24E+00,
4.40E-03,2.24E+00,
4.42E-03,2.23E+00,
4.44E-03,2.26E+00,
4.46E-03,2.24E+00,
4.48E-03,2.26E+00,
4.50E-03,2.24E+00,
4.52E-03,2.26E+00,
4.54E-03,2.24E+00,
4.56E-03,2.26E+00,
4.58E-03,2.24E+00,
4.60E-03,2.27E+00,
4.62E-03,2.26E+00,
4.64E-03,2.27E+00,
4.66E-03,2.26E+00,
4.68E-03,2.27E+00,
4.70E-03,2.26E+00,
4.72E-03,2.27E+00,
4.74E-03,2.28E+00,
4.76E-03,2.26E+00,
4.78E-03,2.27E+00,
4.80E-03,2.27E+00,
4.82E-03,2.28E+00,
4.84E-03,2.27E+00,
4.86E-03,2.26E+00,
4.88E-03,2.27E+00,
4.90E-03,2.26E+00,
4.92E-03,2.28E+00,
4.94E-03,2.27E+00,
4.96E-03,2.24E+00,
4.98E-03,2.26E+00,
5.00E-03,2.27E+00,
5.02E-03,2.27E+00,
5.04E-03,2.27E+00,
5.06E-03,2.26E+00,
5.08E-03,2.27E+00,
5.10E-03,2.26E+00,
5.12E-03,2.27E+00,
5.14E-03,2.27E+00,
5.16E-03,2.26E+00,
5.18E-03,2.26E+00,
5.20E-03,2.26E+00,
5.22E-03,2.27E+00,
5.24E-03,2.24E+00,
5.26E-03,2.24E+00,
5.28E-03,2.24E+00,
5.30E-03,2.26E+00,
5.32E-03,2.24E+00,
5.34E-03,2.24E+00,
5.36E-03,2.24E+00,
5.38E-03,2.24E+00,
5.40E-03,2.24E+00,
5.42E-03,2.24E+00,
5.44E-03,2.23E+00,
5.46E-03,2.23E+00,
5.48E-03,2.23E+00,
5.50E-03,2.22E+00,
5.52E-03,2.24E+00,
5.54E-03,2.23E+00,
5.56E-03,2.22E+00,
5.58E-03,2.22E+00,
5.60E-03,2.23E+00,
5.62E-03,2.22E+00,
5.64E-03,2.22E+00,
5.66E-03,2.22E+00,
5.68E-03,2.20E+00,
5.70E-03,2.20E+00,
5.72E-03,2.22E+00,
5.74E-03,2.19E+00,
5.76E-03,2.20E+00,
5.78E-03,2.19E+00,
5.80E-03,2.20E+00,
5.82E-03,2.19E+00,
5.84E-03,2.19E+00,
5.86E-03,2.18E+00,
5.88E-03,2.19E+00,
5.90E-03,2.19E+00,
5.92E-03,2.17E+00,
5.94E-03,2.18E+00,
5.96E-03,2.17E+00,
5.98E-03,2.17E+00,
6.00E-03,2.17E+00,
6.02E-03,2.17E+00,
6.04E-03,2.15E+00,
6.06E-03,2.17E+00,
6.08E-03,2.15E+00,
6.10E-03,2.15E+00,
6.12E-03,2.15E+00,
6.14E-03,2.15E+00,
6.16E-03,2.15E+00,
6.18E-03,2.15E+00,
6.20E-03,2.14E+00,
6.22E-03,2.14E+00,
6.24E-03,2.15E+00,
6.26E-03,2.14E+00,
6.28E-03,2.13E+00,
6.30E-03,2.13E+00,
6.32E-03,2.14E+00,
6.34E-03,2.13E+00,
6.36E-03,2.13E+00,
6.38E-03,2.13E+00,
6.40E-03,2.13E+00,
6.42E-03,2.12E+00,
6.44E-03,2.10E+00,
6.46E-03,2.10E+00,
6.48E-03,2.12E+00,
6.50E-03,2.10E+00,
6.52E-03,2.10E+00,
6.54E-03,2.10E+00,
6.56E-03,2.10E+00,
6.58E-03,2.10E+00,
6.60E-03,2.10E+00,
6.62E-03,2.10E+00,
6.64E-03,2.09E+00,
6.66E-03,2.10E+00,
6.68E-03,2.09E+00,
6.70E-03,2.08E+00,
6.72E-03,2.09E+00,
6.74E-03,2.09E+00,
6.76E-03,2.07E+00,
6.78E-03,2.08E+00,
6.80E-03,2.05E+00,
6.82E-03,2.08E+00,
6.84E-03,2.07E+00,
6.86E-03,2.08E+00,
6.88E-03,2.07E+00,
6.90E-03,2.07E+00,
6.92E-03,2.07E+00,
6.94E-03,2.07E+00,
6.96E-03,2.05E+00,
6.98E-03,2.05E+00,
7.00E-03,2.05E+00,
7.02E-03,2.05E+00,
7.04E-03,2.05E+00,
7.06E-03,2.05E+00,
7.08E-03,2.05E+00,
7.10E-03,2.05E+00,
7.12E-03,2.05E+00,
7.14E-03,2.04E+00,
7.16E-03,2.04E+00,
7.18E-03,2.04E+00,
7.20E-03,2.05E+00,
7.22E-03,2.04E+00,
7.24E-03,2.04E+00,
7.26E-03,2.04E+00,
7.28E-03,2.04E+00,
7.30E-03,2.03E+00,
7.32E-03,2.03E+00,
7.34E-03,2.03E+00,
7.36E-03,2.03E+00,
7.38E-03,2.02E+00,
7.40E-03,2.04E+00,
7.42E-03,2.02E+00,
7.44E-03,2.03E+00,
7.46E-03,2.02E+00,
7.48E-03,2.02E+00,
7.50E-03,2.02E+00,
7.52E-03,2.02E+00,
7.54E-03,2.02E+00,
7.56E-03,2.02E+00,
7.58E-03,2.02E+00,
7.60E-03,2.02E+00,
7.62E-03,2.02E+00,
7.64E-03,2.02E+00,
7.66E-03,2.02E+00,
7.68E-03,2.00E+00,
7.70E-03,2.02E+00,
7.72E-03,2.02E+00,
7.74E-03,2.00E+00,
7.76E-03,2.02E+00,
7.78E-03,2.00E+00,
7.80E-03,2.02E+00,
7.82E-03,2.00E+00,
7.84E-03,2.00E+00,
7.86E-03,2.02E+00,
7.88E-03,1.99E+00,
7.90E-03,2.00E+00,
7.92E-03,1.99E+00,
7.94E-03,1.99E+00,
7.96E-03,2.00E+00,
7.98E-03,2.00E+00,
8.00E-03,1.99E+00,
8.02E-03,1.99E+00,
8.04E-03,1.98E+00,
8.06E-03,1.99E+00,
8.08E-03,1.99E+00,
8.10E-03,2.00E+00,
8.12E-03,1.98E+00,
8.14E-03,1.99E+00,
8.16E-03,1.98E+00,
8.18E-03,1.99E+00,
8.20E-03,1.98E+00,
8.22E-03,1.97E+00,
8.24E-03,1.99E+00,
8.26E-03,2.00E+00,
8.28E-03,1.98E+00,
8.30E-03,1.98E+00,
8.32E-03,1.99E+00,
8.34E-03,1.98E+00,
8.36E-03,1.98E+00,
8.38E-03,1.98E+00,
8.40E-03,1.99E+00,
8.42E-03,1.98E+00,
8.44E-03,1.99E+00,
8.46E-03,1.99E+00,
8.48E-03,1.98E+00,
8.50E-03,1.98E+00,
8.52E-03,1.99E+00,
8.54E-03,1.98E+00,
8.56E-03,1.97E+00,
8.58E-03,1.98E+00,
8.60E-03,1.98E+00,
8.62E-03,1.97E+00,
8.64E-03,1.98E+00,
8.66E-03,1.99E+00,
8.68E-03,1.98E+00,
